schema_version,evidence_class,measurement_warning,stratum,setting_id,cluster_id,seed,requests,throughput_tokens_per_s,p95_tbt_ms,request_slo_miss_rate,target_launches_per_request,mean_batch,draft_launches_per_request,cache_hit_rate,restricted_next_ready_delay_ms,next_round_unready_rate,mean_ttft_ms,ready_within_5ms_rate,remote_attempts_per_request,cache_evictions_per_request,trace_payload_sha256
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/upper,seed-0002,2,48,2971.3096595815327,12.16764999999989,0.45833333333333337,1.5625,4.213333333333333,2.1875,,,,,,,,7911e1d0f8fe8fca0b74004dc1208944b448524cc555616badd3252ca5211c89
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/upper,seed-0003,3,48,2926.1414297308183,12.873624999999986,0.5,1.5,4.472222222222222,2.25,,,,,,,,62f93feb9e89f41169fcbcc48686b8c01b6648fe5952e91fccc87ed057903ef9
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/upper,seed-0004,4,48,2936.710025248817,13.996000000000038,0.45833333333333337,1.4166666666666667,4.544117647058823,2.2083333333333335,,,,,,,,1092361c89fac70aea79b82fe87b27f938f2567adea757527c99988d3d0642b6
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/upper,seed-0005,5,48,2885.9095306900026,13.633000000000038,0.5,1.5625,4.36,2.3541666666666665,,,,,,,,75baf300a5fb727bae5e8f9d476851e32f192b0df2075350e4d4848087c6707d
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/upper,seed-0006,6,48,2940.399502721953,14.427999999999997,0.5416666666666667,1.4166666666666667,4.544117647058823,2.0416666666666665,,,,,,,,71a82046d22cfaa986e803ed03adbcec6e090ec5e36c30ff7b6b2135d9d434d3
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/upper,seed-0007,7,48,2932.2839716392778,13.334499999999991,0.5,1.5625,4.24,2.4166666666666665,,,,,,,,7b386af85a28c0fea69136248b012041bba328c65940cbad338196e07aea1738
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/upper,seed-0008,8,48,2941.5534005277777,14.260599999999984,0.45833333333333337,1.375,4.666666666666667,2.1666666666666665,,,,,,,,c59e44218699641c8747039b117ce8ce13bed50ddd4b7142c7a410b44e4b4f09
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/upper,seed-0009,9,48,2910.912575985984,14.025999999999984,0.5208333333333333,1.6041666666666667,4.233766233766234,2.5208333333333335,,,,,,,,71dcc00ff9fb77f650f196e8796232b216cff968f0d196d44ffa036be8549952
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/upper,seed-0010,10,48,2891.416683854798,14.24799999999999,0.45833333333333337,1.5208333333333333,4.342465753424658,2.25,,,,,,,,ecd03403ca19f0f723bd631adb516f24b468fbec77a9eba7dac8cc2298e6d08c
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/upper,seed-0011,11,48,2927.5441784661375,14.140000000000043,0.4375,1.6666666666666667,4.1375,2.5416666666666665,,,,,,,,f71cbc311891c4e02831e360f1dfa09a21282de734c29cf396b3e38e36412b5a
